FrameCounter,Timestamp,LedState,Region0G,Region1R
12327,6130.990272,1,0.249227311042428,0.119356249453337
12328,6131.006912,2,0.0401930482785978,0.0352838275168372
12329,6131.023584,1,0.249242737274736,0.119482818055062
12330,6131.040256,2,0.0401203246120027,0.0353095528423912
12331,6131.056928,1,0.249208579188911,0.119502369302484
12332,6131.0736,2,0.0400597215565068,0.0353908448711418
12333,6131.090272,1,0.249080761835501,0.119506485354572
12334,6131.106912,2,0.0400431934504625,0.0354546436785158
12335,6131.123584,1,0.248976083830554,0.119412845169556
12336,6131.140256,2,0.0401544826978277,0.0354320053920282
12337,6131.156928,1,0.248766727820659,0.119319204984539
12338,6131.1736,2,0.0400354803343085,0.0354001059883413
12339,6131.19024,1,0.248741384724724,0.119293479658985
12340,6131.206912,2,0.0400354803343085,0.0352766244256821
12341,6131.223584,1,0.248649929204612,0.119221448747434
12342,6131.240256,2,0.0400090353646376,0.0353095528423912
12343,6131.256928,1,0.248444980689663,0.119357278466359
12344,6131.273568,2,0.0399274967081522,0.0353424812591003
12345,6131.29024,1,0.248128742927348,0.119002268973714
12346,6131.306912,2,0.0398779123900192,0.0351171274072473
12347,6131.323584,1,0.247345310700847,0.118703855197288
12348,6131.340256,2,0.0398371430617766,0.0351253595114246
12349,6131.356896,1,0.247409219377552,0.118849975046434
12350,6131.373568,2,0.0398173093345234,0.0351078662900479
12351,6131.39024,1,0.247299032003923,0.118828365772969
12352,6131.406912,2,0.0399528398040869,0.0352653052824383
12353,6131.423584,1,0.247353023817001,0.118837626890168
12354,6131.440256,2,0.0398415505567217,0.0352673633084827
12355,6131.456896,1,0.247113917216226,0.118842771955279
12356,6131.473568,2,0.0398140037133145,0.0351685780583553
12357,6131.49024,1,0.246678677090392,0.118541271139786
12358,6131.506912,2,0.0397952718597976,0.0352272318006184
12359,6131.523584,1,0.246658843363139,0.118641085402936
12360,6131.540224,2,0.0397677250163904,0.0352334058787514
12361,6131.556896,1,0.246892440595232,0.118705913223332
12362,6131.573568,2,0.0397225481932025,0.0352076805531974
12363,6131.59024,1,0.246857180635671,0.118819104655769
12364,6131.606912,2,0.039777641880017,0.0353239590247015
12365,6131.623552,1,0.247153584670733,0.118884961489188
12366,6131.640224,2,0.0399285985818885,0.0352570731782611
12367,6131.656896,1,0.247069842266775,0.118827336759947
12368,6131.673568,2,0.0398040868496879,0.0352467830480395
12369,6131.69024,1,0.247020257948642,0.118856149124567
12370,6131.706912,2,0.0397688268901267,0.0354145121706515
12371,6131.723552,1,0.246981692367872,0.118978601674204
12372,6131.740224,2,0.0397511969103461,0.0354021640143856
12373,6131.756896,1,0.247059925403148,0.118953905361672
12374,6131.773568,2,0.0398492636728757,0.0353702646106986
12375,6131.79024,1,0.247308948867549,0.119110315341041
12376,6131.80688,2,0.0399660622889223,0.0354350924310947
12377,6131.823552,1,0.247496267402718,0.119149417835883
12378,6131.840224,2,0.039892236748591,0.0354978622254465
12379,6131.856896,1,0.247793773311516,0.119174114148415
12380,6131.873568,2,0.0400167484807916,0.0356048795797511
12381,6131.890208,1,0.248476935028015,0.119605270604699
12382,6131.90688,2,0.0401302414756293,0.0356738234522358
12383,6131.923552,1,0.249553465668369,0.120055978308405
12384,6131.940224,2,0.0402602625765114,0.0358785970436456
12385,6131.956896,1,0.250044901354754,0.120244287691461
12386,6131.973568,2,0.0403230693794798,0.0358590457962245
12387,6131.990208,1,0.250750100545978,0.120498453907934
12388,6132.00688,2,0.040434358626845,0.0358971192780445
12389,6132.023552,1,0.251150080712251,0.120710430590499
12390,6132.040224,2,0.0403814686875031,0.0359310767077757
12391,6132.056896,1,0.251184238798076,0.120709401577477
12392,6132.073536,2,0.0404101174046466,0.03597120821564
12393,6132.090208,1,0.250993614641698,0.12067750217379
12394,6132.10688,2,0.0403792649400305,0.0358981482910666
12395,6132.123552,1,0.251025568980051,0.120585920014818
12396,6132.140224,2,0.0403539218440959,0.0358631618483132
12397,6132.156864,1,0.250977086535654,0.120459351413092
12398,6132.173536,2,0.040358329339041,0.0357623185721415
12399,6132.190208,1,0.250664154394548,0.120238113613328
12400,6132.20688,2,0.0403902836773934,0.0357571735070307
12401,6132.223552,1,0.250865797288289,0.12030602847279
12402,6132.240192,2,0.0403605330865136,0.0356141406969505
12403,6132.256864,1,0.250733572439934,0.120207243222663
12404,6132.273536,2,0.0403252731269524,0.0355266745900669
12405,6132.290208,1,0.250622283192569,0.120192837040353
12406,6132.30688,2,0.0401401583392559,0.035559603006776
12407,6132.323552,1,0.249081863709238,0.119606299617722
12408,6132.340192,2,0.040106000253431,0.035398047962297
12409,6132.356864,1,0.249049909370885,0.119484876081107
12410,6132.373536,2,0.0401445658342011,0.0354268603269174
12411,6132.390208,1,0.249019056906269,0.119598067513544
12412,6132.40688,2,0.0400883702736503,0.0353321911288787
12413,6132.423552,1,0.249203069820229,0.119617618760965
12414,6132.440192,2,0.0401897426573889,0.0354248023008731
12415,6132.456864,1,0.249005834421434,0.119603212578655
12416,6132.473536,2,0.0402139838795872,0.035359974480477
12417,6132.490208,1,0.248410822603838,0.119162795005171
12418,6132.50688,2,0.039850365546612,0.0351377076676905
12419,6132.52352,1,0.246953043650728,0.118697681119155
12420,6132.540192,2,0.0398239205769411,0.035198419435998
12421,6132.556864,1,0.247573398564259,0.118931267075185
12422,6132.573536,2,0.0399583491727683,0.0352467830480395
12423,6132.590176,1,0.2477629208469,0.11910517027593
12424,6132.606848,2,0.0398635880314475,0.035269421334527
12425,6132.62352,1,0.247806995796352,0.119017704169046
12426,6132.640192,2,0.0399594510465046,0.0352848565298594
12427,6132.656864,1,0.247506184266345,0.118931267075185
12428,6132.673536,2,0.0398624861577112,0.0352550151522167
12429,6132.690208,1,0.247443377463376,0.119066067781088
12430,6132.706848,2,0.039907662980899,0.0352570731782611
12431,6132.72352,1,0.247522712372389,0.119137069679617
12432,6132.740192,2,0.0399363116980425,0.0353301331028344
12433,6132.756864,1,0.247543647973379,0.118980659700249
12434,6132.773536,2,0.0399352098243062,0.0353568874414106
12435,6132.790176,1,0.247704521538877,0.119039313442512
12436,6132.806848,2,0.0399241910869433,0.0352138546313304
12437,6132.82352,1,0.247432358726014,0.118922005957985
12438,6132.840192,2,0.0398856255061733,0.0353321911288787
12439,6132.856864,1,0.247294624508978,0.118839684916213
12440,6132.873504,2,0.0398470599254032,0.0353692355976765
12441,6132.890176,1,0.247111713468754,0.118910686814742
12442,6132.906848,2,0.0398106980921056,0.03536614855861
12443,6132.92352,1,0.246668760226766,0.118686361975911
12444,6132.940192,2,0.0397511969103461,0.0352519281131503
12445,6132.956832,1,0.246805392570065,0.118713116314487
12446,6132.973504,2,0.0397985774810065,0.0352323768657292
12447,6132.990176,1,0.24675360450446,0.118762508939551
12448,6133.006816,2,0.0398360411880403,0.0352169416703968
12449,6133.023488,1,0.246740382019624,0.118680187897778
12450,6133.04016,2,0.0397710306375992,0.0353188139595907
12451,6133.0568,1,0.246589425317753,0.118722377431686
